T_star,T_k,Var_star,Var_k,PT_star,PT_k,PoR,VarRed,PTgain
2512.8849999999998,2657.615,183877.976925,107583.12925,3218.2773748584705,3197.1728164837677,0.057595154573329074,0.41492107402355793,0.006557718902532704
1458.96,1566.0,113729.32004999998,133373.10035000002,2013.7161475894623,2166.7586402829415,0.07336733015298566,-0.17272397558838692,-0.07600003251534743
2405.68,2629.0099999999998,164423.706425,151489.5323,3072.714227141839,3269.27124483847,0.0928344584483389,0.07866368181464023,-0.06396853178222942
4147.025,4237.605,308620.101925,252259.48032500004,5060.881504770633,5063.813484734003,0.021842163960911723,0.18262135631624077,-0.0005793417531326446
2867.015,2978.825,262443.90725,153841.83240000004,3709.7366468776518,3624.038022590377,0.03899874957054635,0.4138106157158653,0.023100999462968428
1045.35,1185.5449999999998,73295.49825,38908.027525000005,1490.7031751901586,1510.023189071836,0.13411297651504275,0.4691621115352742,-0.012960335902694277
1859.25,1859.25,192963.67624999996,192963.67624999996,2581.859529430941,2581.859529430941,0.0,0.0,0.0
2262.86,2558.635,314496.47255,181867.90719999996,3185.3757544086247,3260.1612672066385,0.13070848395393445,0.42171717944758247,-0.023477767950769734
1801.365,1849.65,163870.59607499998,149507.98724999995,2467.2763527669067,2485.7100216946365,0.02680467312288186,0.08764604004019472,-0.007471262352536008
1452.6999999999998,1657.5549999999998,146904.227075,90245.022525,2083.197034941979,2151.726313491802,0.14101672747298138,0.3856880477719229,-0.032896205879887806
1426.845,1524.1650000000002,120625.678075,174808.29390000002,1998.173364876891,2211.940845389141,0.0682064274675947,-0.4491797823620236,-0.10698144829161034
1541.275,1594.535,115646.21227500003,80037.43807500001,2100.6867817596058,2059.920118334162,0.03455580606965012,0.30791128822554437,0.019406350237181118
2959.665,3136.5099999999998,266614.02055,253257.458675,3809.0554902686476,3964.3511771656545,0.059751694870872146,0.050096997327622406,-0.040770129837634374
2104.375,2104.375,245773.124,245773.124,2919.892147503411,2919.892147503411,0.0,0.0,0.0
2187.6,2187.6,475044.58792499994,475044.58792499994,3321.39122021638,3321.39122021638,0.0,0.0,0.0
