k,mean_PoR,mean_VarRed,mean_PTgain
0.5,0.015012084402431802,0.06571929975101112,-0.008304082744856054
1.0,0.038241485217964305,0.07753098579084479,-0.019748030804880936
1.645,0.059363060823406616,0.08726333215943581,-0.025404909046125038
2.0,0.06855409747132817,0.0952952900177528,-0.025385655811228806
3.0,0.09394553663026324,0.10228385673381311,-0.02520043799456819
